"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200785","Kosta Perovic","2006","2","8","38","Draft","1610612744","Golden State","Warriors","GSW","KK Partizan (Serbia)","Other Team/Club","1"
"201178","Kyrylo Fesenko","2007","2","8","38","Draft","1610612755","Philadelphia","76ers","PHI","Cherkaski Mavpy (Ukraine)","Other Team/Club","1"
"201602","Kyle Weaver","2008","2","8","38","Draft","1610612766","Charlotte","Bobcats","CHA","Washington State","College/University","1"
"201972","Jon Brockman","2009","2","8","38","Draft","1610612757","Portland","Trail Blazers","POR","Washington","College/University","1"
"202360","Andy Rautins","2010","2","8","38","Draft","1610612752","New York","Knicks","NYK","Syracuse","College/University","1"
"202718","Chandler Parsons","2011","2","8","38","Draft","1610612745","Houston","Rockets","HOU","Florida","College/University","1"
"203113","Quincy Miller","2012","2","8","38","Draft","1610612743","Denver","Nuggets","DEN","Baylor","College/University","1"
"203489","Nate Wolters","2013","2","8","38","Draft","1610612764","Washington","Wizards","WAS","South Dakota State","College/University","1"
"203915","Spencer Dinwiddie","2014","2","8","38","Draft","1610612765","Detroit","Pistons","DET","Colorado","College/University","1"
"1626199","Darrun Hilliard","2015","2","8","38","Draft","1610612765","Detroit","Pistons","DET","Villanova","College/University","1"
"1627775","Patrick McCaw","2016","2","8","38","Draft","1610612744","Golden State","Warriors","GSW","Nevada-Las Vegas","College/University","1"
"1628395","Jordan Bell","2017","2","8","38","Draft","1610612741","Chicago","Bulls","CHI","Oregon","College/University","1"
"1629017","Khyri Thomas","2018","2","8","38","Draft","1610612755","Philadelphia","76ers","PHI","Creighton","College/University","1"
"1629655","Daniel Gafford","2019","2","8","38","Draft","1610612741","Chicago","Bulls","CHI","Arkansas","College/University","1"
"1630240","Saben Lee","2020","2","8","38","Draft","1610612762","Utah","Jazz","UTA","Vanderbilt","College/University","1"
"1630245","Ayo Dosunmu","2021","2","8","38","Draft","1610612741","Chicago","Bulls","CHI","Illinois","College/University","1"
"1631113","Kennedy Chandler","2022","2","8","38","Draft","1610612759","San Antonio","Spurs","SAS","Tennessee","College/University","1"
"1641775","Jordan Walsh","2023","2","8","38","Draft","1610612758","Sacramento","Kings","SAC","Arkansas","College/University","1"
